Artist,Unnamed: 0,Rank,Song Title,Link
*NSYNC,65,10,Bye Bye Bye,/spotify/artist/6Ff53KvcvAj5U7Z1vojB5o_songs.html
Adele,66,9,Someone Like You,/spotify/artist/4dpARuHxo51G3z768sgnrY_songs.html
Alanis Morissette,68,7,You Oughta Know,/spotify/artist/6ogn9necmbUdCppmNnGOdi_songs.html
Amy Winehouse,69,6,Back To Black,/spotify/artist/6Q192DXotxtaysaqNPy5yR_songs.html
Ariana Grande,21,54,"Thank U, Next",/spotify/artist/66CXWjxzNUsdJxJ2JdwvnR_songs.html
Barbra Streisand,58,17,The Way We Were,/spotify/artist/7jmTilWYlKOuavFfmQAcu6_songs.html
Beyoncé,26,49,Irreplaceable,/spotify/artist/6vWDO969PvNqNYHIOW5v0m_songs.html
Billie Eilish,32,43,Happier Than Ever,/spotify/artist/6qqNVTkY8uBg9cP3Jd7DAH_songs.html
Bonnie Raitt,44,31,I Can't Make You Love Me,/spotify/artist/7Io0XduXk7aOHFHA7sLru2_songs.html
Bruno Mars,49,26,When I Was Your Man,/spotify/artist/0du5cEVh5yTK9QJze8zA0C_songs.html
Carole King,27,48,It's Too Late,/spotify/artist/5NHm4TU5Twz7owibYxJfFU_songs.html
Christina Aguilera,15,60,Say Something,/spotify/artist/1l7ZsJRRS8wlW3WfJfPfNS_songs.html
Conan Gray,11,64,Maniac,/spotify/artist/4Uc8Dsxct0oMqx0P6i60ea_songs.html
Dolly Parton,60,15,I Will Always Love You,/spotify/artist/32vWCbZh0xZ4o9gkz4PsEU_songs.html
Drake,18,57,Marvins Room,/spotify/artist/3TVXtAsR1Inumwj472S9r4_songs.html
Elvis Presley,48,27,Always On My Mind,/spotify/artist/43ZHCT0cAZBISjO8DG9PnE_songs.html
Etta James,12,63,Stormy Weather,/spotify/artist/0iOVhN3tnSvgDbcg25JoJb_songs.html
FKA Twigs,28,47,Cellophane,/spotify/artist/6nB0iY1cjSY1KyhYyuIIKH_songs.html
Fleetwood Mac,110,40,LandslideGo Your Own Way,/spotify/artist/08GQAI4eElDnROBrJRGE0X_songs.html
Frank Ocean,29,46,Ivy,/spotify/artist/2h93pZq0e7k5yf4dywlkpM_songs.html
Giveon,38,37,Heartbreak Anniversary,/spotify/artist/4fxd5Ee7UefO4CUXgwJ7IP_songs.html
Gloria Gaynor,52,23,I Will Survive,/spotify/artist/6V6WCgi7waF55bJmylC4H5_songs.html
Gotye,46,29,Somebody That I Used to Know,/spotify/artist/2AsusXITU8P25dlRNhcAbG_songs.html
Gracie Abrams,3,72,"I Miss You, I'm Sorry",/spotify/artist/4tuJ0bMpJh08umKkEXKUI5_songs.html
Harry Styles,25,50,Falling,/spotify/artist/6KImCVD70vtIoJWnq6nGn3_songs.html
Imogen Heap,63,12,Hide and Seek,/spotify/artist/6Xb4ezwoAQC4516kI89nWz_songs.html
Jeff Buckley,20,55,"Lover, You Should've Come Over",/spotify/artist/3nnQpaTvKb5jCQabZefACI_songs.html
Jeremy Zucker & Chelsea Cutler,4,71,You Were Good to Me,/spotify/artist/3gIRvgZssIb9aiirIg0nI3_songs.html
Joji,14,61,Glimpse Of Us,/spotify/artist/3MZsBdqDrRTJihTHQrO6Dq_songs.html
Jojo,23,52,Leave (Get Out),/spotify/artist/5xuNBZoM7z1Vv8IQ6uM0p6_songs.html
Joy Division,19,56,Love Will Tear Us Apart,/spotify/artist/3JsHnjpbhX4SnySpvpa9DK_songs.html
Justin Timberlake,42,33,Cry Me A River,/spotify/artist/31TPClRtHm23RisEBtV3X7_songs.html
Kanye West,8,67,Love Lockdown,/spotify/artist/5K4W6rqBFWDnAN6FQUkS6x_songs.html
Katy Perry,39,36,The One That Got Away,/spotify/artist/6jJ0s89eD6GaHleKKya26X_songs.html
Kelly Clarkson,43,32,Since U Been Gone,/spotify/artist/3BmGtnKgCSGYIUhmivXKWX_songs.html
King Princess,9,66,Talia,/spotify/artist/5a2EaR3hamoenG9rDuVn8j_songs.html
Lady A,5,70,Need You Now,/spotify/artist/32WkQRZEVKSzVAAYqukAEA_songs.html
Leonard Cohen,56,19,Hallelujah,/spotify/artist/5l8VQNuIg0turYE1VtM9zV_songs.html
Lewis Capaldi,7,68,Someone You Loved,/spotify/artist/4GNC7GD6oZMSxPGyXy4MNB_songs.html
Linda Ronstadt,16,59,You're No Good,/spotify/artist/1sXbwvCQLGZnaH0Jp2HTVc_songs.html
Lizzo,45,30,Truth Hurts,/spotify/artist/56oDRnqbIiwx4mymNEv7dS_songs.html
Lorde,67,8,Supercut,/spotify/artist/163tK9Wjr9P9DmM0AVK7lm_songs.html
Mariah Carey,62,13,We Belong Together,/spotify/artist/4iHNK0tOyZPYnBU7nGAgpQ_songs.html
Mary J. Blige,22,53,I'm Goin' Down,/spotify/artist/1XkoF8ryArs86LZvFOkbyr_songs.html
Natalie Imbruglia,50,25,Torn,/spotify/artist/0dlOr0VIysztGWvU1dpjmP_songs.html
Noah Kahan,41,34,Stick Season,/spotify/artist/2RQXRUsr4IW1f3mKyKsy4B_songs.html
Olivia Rodrigo,61,14,Drivers License,/spotify/artist/1McMsnEElThX1knmY4oliG_songs.html
Paramore,36,39,All I Wanted,/spotify/artist/74XFHRwlV6OrjEM0A2NCMF_songs.html
Phoebe Bridgers,30,45,Motion Sickness,/spotify/artist/1r1uxoy19fzMxunt3ONAkG_songs.html
Robyn,73,2,Dancing On My Own,/spotify/artist/6UE7nl9mha6s8z0wFQFIZ2_songs.html
Roy Orbison,31,44,Crying,/spotify/artist/0JDkhL4rjiPNEp92jAgJnS_songs.html
SZA,71,4,Kill Bill,/spotify/artist/7tYKF4w9nC0nq9CsPZTHyP_songs.html
Selena Gomez,2,73,Lose You to Love Me,/spotify/artist/0C8ZW7ezQVs4URX5aX7Kqx_songs.html
Taylor Swift,75,75,We Are Never Ever Getting Back TogetherAll Too Well (10 Minute Version),/spotify/artist/06HL4z0CvFAxyc27GXpf02_songs.html
The 1975,55,20,Somebody Else,/spotify/artist/3mIj9lX2MWuHmhNCA7LSCW_songs.html
The Airborne Toxic Event,35,40,Sometime Around Midnight,/spotify/artist/3JsHnjpbhX4SnySpvpa9DK_songs.html
The All-American Rejects,24,51,Gives You Hell,/spotify/artist/3vAaWhdBR38Q02ohXqaNHT_songs.html
The Beatles,64,11,Yesterday,/spotify/artist/3WrFJ7ztbogyGnTHbHJFl2_songs.html
The Jackson 5,72,3,I Want You Back,/spotify/artist/2iE18Oxc8YSumAU232n4rW_songs.html
The Police,33,42,Every Breath You Take,/spotify/artist/5NGO30tJxFlKixkPSgXcFE_songs.html
The Supremes,40,35,You Keep Me Hangin' On,/spotify/artist/57bUPid8xztkieZfS7OlEV_songs.html
Toni Braxton,57,18,Un-Break My Heart,/spotify/artist/3X458ddYA2YcVWuVIGGOYe_songs.html
Usher,47,28,Burn,/spotify/artist/23zg3TcAtWQy7J6upgbUnj_songs.html
Whitney Houston,70,5,I Have Nothing,/spotify/artist/6XpaIBNiVzIetEPCWDvAFP_songs.html
Andy Williams,120,80,Happy Holiday/The Holiday SeasonIt's the Most Wonderful Time of the Year,/spotify/artist/4sj6D0zlMOl25nprDJBiU9_songs.html
Bing Crosby,95,5,White Christmas,/spotify/artist/3utZ2yeQk0Z3BCOBWP7Vlu_songs.html
Bing Crosby & David Bowie,64,36,Peace on Earth/Little Drummer Boy,/spotify/artist/0oSGxfWSnnOXhD2fKuz2Gy_songs.html
Bing Crosby & The Andrews Sisters,33,67,Mele Kalikimaka (Merry Christmas),/spotify/artist/3utZ2yeQk0Z3BCOBWP7Vlu_songs.html
Bobby Helms,81,19,Jingle Bell Rock,/spotify/artist/38EmEgXkgK51MT2tPY0EoC_songs.html
Brenda Lee,94,6,Rockin' Around the Christmas Tree,/spotify/artist/4cPHsZM98sKzmV26wlwD2W_songs.html
Britney Spears,5,95,My Only Wish (This Year),/spotify/artist/26dSoYclwsYLMAKD3tpOr4_songs.html
Bruce Springsteen,91,9,Santa Claus Is Coming to Town,/spotify/artist/3eqjTLE0HfPfh78zjh6TqT_songs.html
Burl Ives,75,25,A Holly Jolly Christmas,/spotify/artist/3JsHnjpbhX4SnySpvpa9DK_songs.html
Carla Morrison,21,79,Jesús,/spotify/artist/0XK6kT7xcZAlcYrNjOgzJe_songs.html
Carpenters,59,41,Merry Christmas Darling,/spotify/artist/1eEfMU2AhEo7XnKgL7c304_songs.html
Chuck Berry,80,20,Run Rudolph Run,/spotify/artist/293zczrfYafIItmnmM3coR_songs.html
Darlene Love,98,2,Christmas (Baby Please Come Home),/spotify/artist/3JsHnjpbhX4SnySpvpa9DK_songs.html
DeJ Loaf feat. Kodak Black,18,82,All I Want For Christmas,/spotify/artist/46SHBwWsqBkxI7EeeBEQG7_songs.html
Dean Martin & Marilyn Maxwell,17,83,Baby It's Cold Outside,/spotify/artist/49e4v89VmlDcFCMyDv9wQ9_songs.html
Destiny's Child,8,92,Carol of the Bells (a.k.a. Opera of the Bells),/spotify/artist/1Y8cdNmUJH7yBTd9yOvr5i_songs.html
Eagles,30,70,Please Come Home For Christmas,/spotify/artist/0ECwFtbIWEVNwjlrfc6xoL_songs.html
Ella Fitzgerald,61,39,Let It Snow! Let It Snow! Let It Snow!,/spotify/artist/5V0MlUE1Bft0mbLlND7FJz_songs.html
Elton John,55,45,Step Into Christmas,/spotify/artist/3PhoLpVuITZKcymswpck5b_songs.html
Fats Domino,15,85,I'll Be Home For Christmas,/spotify/artist/5MouCg6ta7zAxsfMEbc1uh_songs.html
Frank Sinatra,57,43,Have Yourself a Merry Little Christmas,/spotify/artist/1Mxqyy3pSjf8kZZL4QVxS0_songs.html
Hector Lavoe y Willie Colón,26,74,Aires de Navidad,/spotify/artist/3JsHnjpbhX4SnySpvpa9DK_songs.html
James Brown,35,65,Santa Claus Go Straight to the Ghetto,/spotify/artist/7GaxyUddsPok8BuhxN6OUW_songs.html
John Lennon & Yoko Ono With the Harlem Community Choir,79,21,Happy Xmas (War Is Over),/spotify/artist/4x1nvY2FN8jxqAFA0DA02H_songs.html
José Feliciano,93,7,Feliz Navidad,/spotify/artist/7K78lVZ8XzkjfRSI7570FF_songs.html
Justin Bieber,67,33,Mistletoe,/spotify/artist/1uNFoZAHBGtllmzznpCI3s_songs.html
Kacey Musgraves,19,81,Christmas Makes Me Cry,/spotify/artist/70kkdajctXSbqSMJbQO424_songs.html
Kanye West feat. CyHi da Prynce & Teyana Taylor,53,47,Christmas in Harlem,/spotify/artist/5K4W6rqBFWDnAN6FQUkS6x_songs.html
Kate Bush,14,86,December Will Be Magic Again,/spotify/artist/1aSxMhuvixZ8h9dK9jIDwL_songs.html
Los Tigres del Norte,54,46,Navidad de los Pobres,/spotify/artist/3hYtANQYrE6pd2PbtEyTIy_songs.html
Louis Armstrong and the Commanders,1,99,"Zat You, Santa Claus?",/spotify/artist/19eLuQmk9aCobbVDHc6eek_songs.html
Marco Antonio Solís / Los Bukis,31,69,Navidad Sin Ti,/spotify/artist/3tJnB0s6c3oXPq1SCCavnd_songs.html
Mecano,11,89,Un Año Más,/spotify/artist/5BMgsAFg8rZQc3tqs5BB8G_songs.html
Michael Bublé,44,56,It's Beginning to Look a Lot Like Christmas,/spotify/artist/1GxkXlMwML1oSg5eLPiAz3_songs.html
Nat King Cole,125,75,O Come All Ye FaithfulThe Christmas Song (Merry Christmas to You),/spotify/artist/7v4imS0moSyGdXyLgVTIV7_songs.html
Otis Redding,56,44,Merry Christmas Baby,/spotify/artist/60df5JBRRPcnSpsIMxxwQm_songs.html
Pansy Division,9,91,Homo Christmas,/spotify/artist/3JsHnjpbhX4SnySpvpa9DK_songs.html
Paul McCartney,73,27,Wonderful Christmastime,/spotify/artist/4STHEaNw4mPZ2tzheohgXB_songs.html
Perry Como,24,76,(There's No Place Like) Home For the Holidays,/spotify/artist/5v8jlSmAQfrkTjAlpUfWtu_songs.html
Pretenders,72,28,2000 Miles,/spotify/artist/0GByy3DcfbQwDvXGCWmzv9_songs.html
Prince,45,55,Another Lonely Christmas,/spotify/artist/5a2EaR3hamoenG9rDuVn8j_songs.html
Ramones,50,50,Merry Christmas (I Don't Want to Fight Tonight),/spotify/artist/1co4F2pPNH8JjTutZkmgSm_songs.html
Saturday Night Live Cast,66,34,I Wish It Was Christmas Today,/spotify/artist/3JsHnjpbhX4SnySpvpa9DK_songs.html
Simon & Garfunkel,27,73,7 O'Clock News/Silent Night,/spotify/artist/70cRZdQywnSFp9pnc2WTCE_songs.html
Smino feat. Monte Booker and Masego,2,98,Sleigh,/spotify/artist/3ycxRkcZ67ALN3GQJ57Vig_songs.html
Stevie Wonder,112,88,Someday at ChristmasWhat Christmas Means to Me,/spotify/artist/7guDJrEfX3qb6FEbdPA5qi_songs.html
Sufjan Stevens,25,75,That Was the Worst Christmas Ever!,/spotify/artist/3JsHnjpbhX4SnySpvpa9DK_songs.html
The Beach Boys,84,16,Little Saint Nick,/spotify/artist/3oDbviiivRWhXwIE8hxkVV_songs.html
The Chipmunks With David Seville,43,57,The Chipmunk Song (Christmas Don't Be Late),/spotify/artist/3JsHnjpbhX4SnySpvpa9DK_songs.html
The Kinks,60,40,Father Christmas,/spotify/artist/1SQRv42e4PjEYfPhS0Tk9E_songs.html
The Ronettes,81,119,Sleigh RideFrosty the Snowman,/spotify/artist/7CyeXFnOrfC1N6z4naIpgo_songs.html
The Temptations,52,48,Silent Night,/spotify/artist/3RwQ26hR2tJtA8F9p2n7jG_songs.html
Thurl Ravenscroft,63,37,"You're a Mean One, Mr. Grinch",/spotify/artist/3JsHnjpbhX4SnySpvpa9DK_songs.html
Tom Petty and the Heartbreakers,12,88,Christmas All Over Again,/spotify/artist/2UZMlIwnkgAEDBsw1Rejkn_songs.html
Tony Bennett,20,80,Winter Wonderland,/spotify/artist/2lolQgalUvZDfp5vvVtTYV_songs.html
U2,37,63,Christmas (Baby Please Come Home),/spotify/artist/51Blml2LZPmy7TTiAg47vQ_songs.html
Vince Guaraldi Trio,127,73,O TannenbaumChristmas Time Is Here,/spotify/artist/3JsHnjpbhX4SnySpvpa9DK_songs.html
Wham!,96,4,Last Christmas,/spotify/artist/5lpH0xAS4fVfLkACg9DAuM_songs.html
Willie Nelson,13,87,Pretty Paper,/spotify/artist/5W5bDNCqJ1jbCgTxDD0Cb3_songs.html
