Date,Global,GB,FR,TR,DE,NL,BE,PL,CH,IE,AT,IL,AR,CY,ES,CL,LU,BR,BG,LT,IS,MA,EC,IT,UY
Total,54297477,12617776,11517373,10144187,3009971,2975154,2170574,1911928,1421031,1074087,494393,483542,471932,259029,79775,71420,62082,59792,52923,45520,29721,29477,7423,4807,2401
Peak,"199 (8,921,591)","67 (848,202)","45 (960,804)","94 (547,016)","132 (647,029)","95 (294,186)","58 (152,141)","101 (384,272)","61 (104,175)","114 (85,546)","106 (69,659)","123 (52,284)","159 (58,046)","100 (9,003)","200 (79,775)","193 (37,035)","63 (8,013)","179 (21,930)","145 (13,453)","143 (15,705)","150 (7,957)","148 (29,477)","181 (7,423)","226 (4,807)","186 (2,401)"
2015/05/28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"270 (7,154)",--,--,--,--,--,--,--
2015/07/09,--,--,--,--,--,--,--,--,--,"248 (1,072)",--,--,--,--,--,--,--,"220 (10,874)",--,--,--,--,--,--,--
2015/07/16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"179 (19,834)",--,--,--,--,--,--,--
2015/07/23,--,"231 (17,469)",--,"217 (1,930)",--,--,--,--,--,--,--,--,"258 (5,070)",--,--,--,--,"211 (21,930)",--,--,--,--,--,"226 (4,807)",--
2015/08/13,--,--,--,--,--,--,--,"186 (11,174)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2015/08/20,--,--,--,"200 (10,479)",--,--,--,"167 (12,272)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2015/10/08,--,--,--,--,--,--,--,--,--,--,--,--,"159 (39,747)",--,--,--,--,--,--,--,--,--,--,--,"186 (2,401)"
2015/10/15,--,--,--,--,--,--,--,--,--,--,--,--,"191 (35,432)",--,--,--,--,--,--,--,--,--,--,--,--
2015/10/22,--,--,--,"170 (13,405)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2015/10/29,--,--,--,"141 (14,622)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2015/11/05,--,--,--,"117 (15,850)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2015/11/12,--,--,--,"144 (14,372)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2015/11/19,--,--,--,"190 (13,428)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2015/11/26,--,--,--,"188 (13,153)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2015/12/03,--,--,--,"184 (13,499)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2015/12/24,--,--,--,"199 (13,432)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2016/03/03,--,--,--,--,--,--,--,--,--,--,--,--,"200 (49,885)",--,--,--,--,--,--,--,--,--,--,--,--
2016/03/10,--,--,--,--,--,--,--,--,--,--,--,--,"172 (53,717)",--,--,--,--,--,--,--,--,--,--,--,--
2016/03/31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"193 (34,385)",--,--,--,--,--,--,--,--,--
2016/04/07,--,--,--,--,--,--,--,--,--,--,--,--,"191 (57,804)",--,"200 (79,775)","198 (37,035)",--,--,--,--,--,--,"181 (7,423)",--,--
2016/04/14,--,--,--,--,--,--,--,--,--,--,--,--,"189 (57,891)",--,--,--,--,--,--,--,--,--,--,--,--
2016/04/28,--,--,--,--,--,--,--,--,--,--,--,--,"176 (58,046)",--,--,--,--,--,--,--,--,--,--,--,--
2016/05/05,--,--,--,--,--,--,--,--,--,--,--,--,"184 (57,007)",--,--,--,--,--,--,--,--,--,--,--,--
2016/06/02,--,--,--,--,--,--,--,--,--,--,--,--,"194 (57,333)",--,--,--,--,--,--,--,--,--,--,--,--
2022/07/21,--,--,--,"177 (319,218)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/07/28,--,--,--,"163 (346,837)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/08/04,--,--,--,"170 (344,729)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/08/11,--,--,--,"161 (351,984)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/08/18,--,--,--,"145 (388,427)",--,--,--,--,--,--,--,--,--,"193 (3,852)",--,--,--,--,--,--,--,--,--,--,--
2022/08/25,--,--,--,"142 (389,392)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/09/01,--,--,--,"124 (421,675)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/09/08,--,--,--,"117 (466,600)",--,--,--,--,--,--,--,--,--,"176 (4,145)",--,--,--,--,--,--,--,--,--,--,--
2022/09/15,--,--,--,"124 (440,056)",--,--,--,--,--,--,--,--,--,"166 (4,411)",--,--,--,--,--,--,--,--,--,--,--
2022/09/22,--,--,--,"112 (494,540)",--,--,--,--,--,--,--,--,--,"151 (4,687)",--,--,--,--,--,--,--,--,--,--,--
2022/09/29,--,--,--,"94 (543,626)",--,--,--,--,--,--,--,--,--,"146 (4,904)",--,--,--,--,--,--,--,--,--,--,--
2022/10/06,--,--,--,"103 (538,827)",--,--,--,--,--,--,--,--,--,"128 (5,318)",--,--,--,--,--,--,--,--,--,--,--
2022/10/13,--,--,--,"100 (547,016)",--,--,--,--,--,--,--,--,--,"131 (5,389)",--,--,--,--,--,--,--,--,--,--,--
2022/10/20,--,--,--,"112 (539,051)",--,--,--,--,--,--,--,--,--,"132 (5,521)",--,--,--,--,--,--,--,--,--,--,--
2022/10/27,--,--,--,"128 (484,521)",--,--,--,--,--,--,--,--,--,"140 (5,593)",--,--,--,--,--,--,--,--,--,--,--
2022/11/03,--,--,--,"124 (461,657)",--,--,--,--,--,--,--,--,--,"163 (4,988)",--,--,--,--,--,--,--,--,--,--,--
2022/11/10,--,--,--,"134 (445,401)",--,--,--,--,--,--,--,--,--,"166 (5,093)",--,--,--,--,--,--,--,--,--,--,--
2022/11/17,--,--,--,"147 (446,806)",--,--,--,--,--,--,--,--,--,"161 (4,978)",--,--,--,--,--,--,--,--,--,--,--
2022/11/24,--,--,--,"151 (415,577)",--,--,--,--,--,--,--,--,--,"172 (4,681)",--,--,--,--,--,--,--,--,--,--,--
2022/12/01,--,--,--,"151 (420,288)",--,--,--,--,--,--,--,--,--,"186 (4,621)",--,--,--,--,--,--,--,--,--,--,--
2022/12/08,--,--,--,"163 (415,945)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/12/15,--,--,--,"165 (409,199)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2022/12/22,--,--,--,"187 (388,645)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2024/01/11,--,--,--,--,--,--,--,--,--,--,--,--,--,"199 (5,307)",--,--,--,--,--,--,--,--,--,--,--
2024/01/18,--,--,--,--,--,--,--,--,--,--,--,--,--,"192 (5,832)",--,--,--,--,--,--,--,--,--,--,--
2024/04/18,--,"90 (716,546)",--,--,--,--,--,--,--,"146 (68,735)",--,--,--,--,--,--,--,--,--,--,"197 (6,605)",--,--,--,--
2024/04/25,--,"95 (800,319)","137 (503,243)",--,"163 (597,096)","119 (262,559)","143 (94,802)","105 (356,073)","104 (77,190)","149 (77,369)","117 (63,676)","189 (47,013)",--,"148 (7,661)",--,--,"134 (5,516)",--,--,"143 (15,619)","157 (7,610)",--,--,--,--
2024/05/02,--,"83 (846,366)","50 (861,372)",--,"147 (639,919)","108 (276,045)","60 (143,976)","101 (384,272)","64 (95,762)","131 (80,264)","108 (67,162)","133 (50,809)",--,"113 (8,589)",--,--,"81 (7,220)",--,"168 (13,218)","148 (15,705)","160 (7,549)",--,--,--,--
2024/05/09,"199 (8,921,591)","80 (848,202)","45 (960,804)",--,"132 (647,029)","95 (294,186)","58 (152,141)","115 (324,704)","61 (104,175)","114 (85,546)","106 (69,659)","123 (51,887)",--,"100 (9,003)",--,--,"63 (8,013)",--,"145 (13,453)","185 (14,196)","150 (7,957)","148 (29,477)",--,--,--
2024/05/16,--,"121 (753,780)","63 (768,190)",--,"198 (562,698)","130 (262,993)","85 (130,194)","157 (293,965)","95 (91,147)","169 (73,115)","144 (59,946)","163 (46,904)",--,"108 (8,922)",--,--,"115 (6,460)",--,"177 (13,326)",--,--,--,--,--,--
2024/05/23,--,"119 (736,003)","81 (710,400)",--,"196 (563,229)","129 (268,798)","94 (125,208)","181 (269,305)","97 (88,151)","182 (71,435)","145 (60,773)","159 (49,124)",--,"145 (8,220)",--,--,"112 (6,562)",--,"195 (12,926)",--,--,--,--,--,--
2024/05/30,--,"122 (713,163)","84 (661,537)",--,--,"125 (266,101)","95 (121,941)","200 (260,163)","108 (86,024)","183 (70,002)","185 (60,879)","168 (51,091)",--,"146 (8,368)",--,--,"150 (6,086)",--,--,--,--,--,--,--,--
2024/06/06,--,"127 (692,392)","114 (628,267)",--,--,"131 (263,207)","93 (124,309)",--,"99 (85,780)","183 (69,677)","158 (57,209)","161 (52,284)",--,"145 (8,592)",--,--,"116 (6,378)",--,--,--,--,--,--,--,--
2024/06/13,--,"154 (643,784)","117 (583,804)",--,--,"157 (246,712)","101 (122,948)",--,"121 (80,034)","200 (63,538)","184 (55,089)","182 (46,980)",--,"175 (7,935)",--,--,"161 (5,868)",--,--,--,--,--,--,--,--
2024/06/20,--,"162 (610,651)","120 (520,089)",--,--,"162 (225,147)","109 (110,670)",--,"156 (69,837)",--,--,"198 (44,610)",--,"197 (6,761)",--,--,"178 (5,158)",--,--,--,--,--,--,--,--
2024/06/27,--,--,"157 (470,555)",--,--,--,"168 (92,332)",--,"194 (64,191)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2024/07/04,--,--,"174 (454,534)",--,--,--,"167 (85,080)",--,--,--,--,--,--,"199 (6,599)",--,--,--,--,--,--,--,--,--,--,--
2024/07/11,--,--,"173 (447,581)",--,--,--,"177 (81,201)",--,--,--,--,--,--,"184 (6,892)",--,--,--,--,--,--,--,--,--,--,--
2024/07/18,--,--,"174 (443,079)",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2024/07/25,--,--,"187 (441,138)",--,--,--,--,--,--,--,--,--,--,"192 (6,765)",--,--,--,--,--,--,--,--,--,--,--
2024/08/01,--,--,--,--,--,--,--,--,--,--,--,--,--,"182 (7,016)",--,--,--,--,--,--,--,--,--,--,--
2024/08/29,--,--,--,--,--,--,--,--,--,--,--,--,--,"180 (6,533)",--,--,--,--,--,--,--,--,--,--,--
2024/09/05,--,--,"158 (437,016)",--,--,--,"168 (82,155)",--,"178 (64,294)",--,--,--,--,"156 (7,219)",--,--,--,--,--,--,--,--,--,--,--
2024/09/12,--,--,"175 (426,213)",--,--,--,"194 (80,923)",--,"197 (62,976)",--,--,--,--,"185 (6,844)",--,--,--,--,--,--,--,--,--,--,--
2024/09/19,--,"83 (765,234)","168 (441,711)",--,--,--,"160 (87,328)",--,"172 (65,085)","185 (67,638)",--,--,--,"149 (7,715)",--,--,--,--,--,--,--,--,--,--,--
2024/09/26,--,"71 (810,328)","185 (443,243)",--,--,--,"171 (87,350)",--,"173 (66,176)","154 (71,266)",--,--,--,"133 (7,928)",--,--,--,--,--,--,--,--,--,--,--
2024/10/03,--,"67 (800,905)","180 (460,031)",--,--,"186 (204,769)","155 (91,916)",--,"142 (68,079)","140 (73,179)",--,--,--,"121 (8,473)",--,--,"194 (4,821)",--,--,--,--,--,--,--,--
2024/10/10,--,"81 (775,807)","190 (440,764)",--,--,"191 (206,417)","158 (91,924)",--,"152 (65,152)","161 (70,407)",--,--,--,"124 (8,938)",--,--,--,--,--,--,--,--,--,--,--
2024/10/17,--,"86 (716,685)","196 (413,802)",--,--,--,"158 (85,917)",--,"168 (60,327)","183 (64,169)",--,--,--,"175 (7,719)",--,--,--,--,--,--,--,--,--,--,--
2024/10/24,--,"110 (670,529)",--,--,--,--,"162 (86,258)",--,"168 (61,098)",--,--,--,--,"123 (8,473)",--,--,--,--,--,--,--,--,--,--,--
2024/10/31,--,"103 (699,613)",--,--,--,"193 (198,220)","154 (92,001)",--,"157 (65,553)","184 (66,675)",--,"190 (42,840)",--,"119 (8,544)",--,--,--,--,--,--,--,--,--,--,--
