Date,Global,US,GB,DE,CA,NL,SE,AU,IT,DK,PL,IE,NO,AT,CH,FR,BE,NZ,CZ,FI,JP,HU,ES,SK,PT,SG,IS,RO,LT,LV,LU,AE,ZA,HK,EE,GR,CY,BG
Total,293099505,66666563,44746209,41916299,16203354,12047784,11692900,10746176,8193115,7337513,6851813,5283260,5232919,4771248,3256702,2704622,2538325,2481464,2172055,1908187,1413216,1067297,993526,806945,582921,438694,413033,365506,289705,267498,217695,212815,193454,189402,174395,135582,104886,51123
Peak,28371502,5509281,4318343,4181233,1594672,1254741,1039568,1366464,1093970,493129,735547,501090,468469,431169,355627,962312,363627,281436,188718,228897,425976,155313,374385,72216,108172,77955,31464,54833,33089,27095,24349,33502,73990,38935,15845,51533,12475,15247
2020/11/19,,,,,,,,,,68041,,,,36906,,,,,,,,,,,,,6126,,,,,,,,,,,
2020/11/26,,,480076,608645,315929,,208848,,,128632,,55624,91943,74951,,,,,,,,,,,,,8781,,,,,,,,,,,
2020/12/03,8410627,2279942,1069938,1549727,441310,258421,575128,,,285334,,106714,207848,167334,92735,,,53271,58676,,,,,21211,,,13846,,6760,6847,4542,,,,4872,,2259,
2020/12/10,10924203,2764815,1447206,1774762,593240,517411,521427,332293,407446,279824,252290,164879,238923,181902,128220,,74724,80928,74809,,,24671,,28927,,,16784,16525,8762,8619,7109,,,,5831,,2983,
2020/12/17,11462354,3043095,1510197,1702688,666211,596223,518249,404712,309668,265336,285632,177312,258214,161796,117691,,87627,98802,83475,88995,,30383,,32627,,,19211,18090,10137,10991,7120,,,,6969,,3215,
2020/12/24,21042865,4551457,2437116,3836192,1087777,887430,1039568,1107388,578181,493129,483227,294133,412240,366735,265673,375983,216777,275673,153143,228897,205128,93561,322001,55863,87790,57721,31464,28352,16653,20639,15584,17936,22909,29930,12730,28079,5384,6948
2020/12/31,9509781,2322982,1448466,1090128,658276,686369,181218,524060,368598,77855,,145047,111876,72170,106261,,108019,66737,29923,,,23381,,10830,32682,,7801,,8112,7782,7337,10432,,21055,,25380,4084,
2021/11/18,,,,,,,,,,63100,,,,36231,,,,,,,,,,,,,,,,,,,,,,,,
2021/11/25,,,417244,497178,288314,,150547,,,111190,,58121,,59343,,,,,,,,,,,,,6801,,,,,,,,,,,
2021/12/02,7974578,2387623,1053163,1233844,452799,193472,461288,,,291336,,115926,166718,153740,81310,,,48954,75994,52853,,,,22625,,,12204,,,7744,5084,,,,5960,,,
2021/12/09,10760421,2931833,1625942,1495251,605601,373345,470596,319168,363056,297053,273487,178918,189615,166188,105391,,70515,75150,98318,75719,,29007,,33457,,,15635,,11096,10167,6902,,,,8118,,3682,
2021/12/16,11888517,3247438,1809754,1545609,647906,482112,481665,400629,321455,283835,359992,206851,244250,151364,117287,,97310,97468,94742,83180,,35720,,34974,,,17814,,11865,10121,8239,10663,,,7411,,4131,
2021/12/23,16531071,3594894,2548354,2260351,854119,648990,777311,731307,434586,396253,580697,310412,468469,240661,174075,,140266,166807,128546,195305,214549,79211,,52905,52825,50080,25220,25875,18613,16468,10703,14285,,26803,11381,,5857,7553
2021/12/30,16766065,2843734,2597346,2693956,878791,921161,477432,1048384,573482,265179,338540,277657,251250,225972,237525,326346,232686,201903,72686,121129,223178,75946,297140,30023,66805,68188,14102,22241,20141,16998,13380,18801,40997,38935,10455,30590,6936,8586
2022/11/17,,,,,,,,,,78709,,,,44323,,,,,,,,,,,,,,,,,,,,,,,,
2022/11/24,,,509783,630282,274821,,191170,,,157899,,74332,77252,86144,,,,,,43048,,,,,,,6988,,,,,,,,,,,
2022/12/01,7484911,1999724,1036105,1116434,349381,187992,351302,,,298803,,133396,159105,143147,79297,,,,70168,63607,,,,22223,,,12490,,,9681,5603,,,,7180,,,
2022/12/08,11612872,2611383,2014383,1441279,514234,407999,416043,392371,379444,365746,359153,225554,236230,191662,128293,,92062,93618,103046,93062,,44502,,38211,,,18567,,14803,12234,10315,,,,9406,,5161,
2022/12/15,13926119,3441537,2371178,1463452,630162,664788,497638,508164,392363,348804,439262,279327,260237,177591,158740,,140176,121047,123776,96052,,55630,,45939,,,22250,,19116,14877,10905,17428,,,10264,,6545,
2022/12/22,17377530,4444935,2750229,1680470,879896,754468,581374,813393,480146,387913,605832,333284,306725,219141,175841,,173714,180363,154264,151942,,86650,,58228,63549,54031,26901,37617,21333,16622,12828,19861,,,10937,,7865,
2022/12/29,23092680,4491568,3607372,3003083,1121478,1229219,650340,1366464,737984,383014,552148,415427,246035,297140,296647,635408,320453,277324,127082,174167,425976,114781,374385,48818,101954,77955,21421,38596,29538,23367,20912,29547,55558,34317,14412,51533,11674,12789
2023/11/16,,,,,,,,,,87580,,52876,,53643,,,,,,,,,,,,,,,,,,,,,,,,
2023/11/23,,,633046,583436,310776,,166893,,,137861,,91436,78713,90192,,,,,,,,,,,,,7515,,,,,,,,,,,
2023/11/30,9001434,2674209,1165545,1381177,459855,222259,332569,,,275455,,158915,130537,187017,105892,,,,79878,,,,,27465,,,10925,,,,6932,,,,,,,
2023/12/07,14745694,3258085,2582688,2109672,721037,440198,552938,389651,460274,394480,479644,274054,262358,270408,175603,,111055,97555,146463,73454,,64421,,52308,,,17575,36265,17528,14048,12833,,,,10577,,6335,
2023/12/14,15571064,3744311,2449375,1840445,843125,636922,546698,437861,663487,332997,492108,297254,257973,225187,161832,,141503,111427,140906,71754,,66159,,53636,,,21234,42351,20447,15774,12408,19043,,,10592,,7533,
2023/12/21,18403928,4523717,2863360,2197005,1013644,684264,632358,637185,628975,344835,614254,354721,279037,259191,192762,404573,167811,153001,167442,107445,,87961,,64459,69144,53053,25736,44761,21712,17424,14610,21317,,,11455,,8767,
2023/12/28,28371502,5509281,4318343,4181233,1594672,1254741,910300,1333146,1093970,437320,735547,501090,297371,431169,355627,962312,363627,281436,188718,187578,344385,155313,,72216,108172,77666,25642,54833,33089,27095,24349,33502,73990,38362,15845,,12475,15247
