Unnamed: 0,Rank,Song,Artist,ArtistID,SongID,SongLink
0,75,Walk On By,Dionne Warwick,,,
1,74,We Are Never Ever Getting Back Together,Taylor Swift,06HL4z0CvFAxyc27GXpf02,0VwNdo84DaVYLIkbVO86ND,https://kworb.net/spotify/track/0VwNdo84DaVYLIkbVO86ND.html
2,73,Lose You to Love Me,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,4l0Mvzj72xxOpRrp6h8nHi,https://kworb.net/spotify/track/4l0Mvzj72xxOpRrp6h8nHi.html
3,72,"I Miss You, I'm Sorry",Gracie Abrams,4tuJ0bMpJh08umKkEXKUI5,4nyF5lmSziBAt7ESAUjpbx,https://kworb.net/spotify/track/4nyF5lmSziBAt7ESAUjpbx.html
4,71,You Were Good to Me,Jeremy Zucker & Chelsea Cutler,3gIRvgZssIb9aiirIg0nI3,4lObsVudTkQD0GAKN6oKc7,
5,70,Need You Now,Lady A,32WkQRZEVKSzVAAYqukAEA,7h70RTLbnhDyPGXjl3iEhh,
6,69,River,Joni Mitchell,,,
7,68,Someone You Loved,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,7qEHsqek33rTcFNT9PFqLf,https://kworb.net/spotify/track/7qEHsqek33rTcFNT9PFqLf.html
8,67,Love Lockdown,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,1kxeWHF9PrCVZHvVskv8lg,
9,66,Talia,King Princess,6beUvFUlKliUYJdLOXNj9C,396UBHzxhcRoNYiIjRzEM9,
10,65,Breaking Up Is Hard to Do,Neil Sedaka,,,
11,64,Maniac,Conan Gray,4Uc8Dsxct0oMqx0P6i60ea,6KfoDhO4XUWSbnyKjNp9c4,https://kworb.net/spotify/track/6KfoDhO4XUWSbnyKjNp9c4.html
12,63,Stormy Weather,Etta James,0iOVhN3tnSvgDbcg25JoJb,2IdwQxhJn9ZE4zIotcCefR,
13,62,One Less Bell to Answer,The 5th Dimension,,,
14,61,Glimpse Of Us,Joji,3MZsBdqDrRTJihTHQrO6Dq,4ewazQLXFTDC8XvCbhvtXs,
15,60,Say Something,Christina Aguilera,1l7ZsJRRS8wlW3WfJfPfNS,78TKtlSLWK8pZAKKW3MyQL,https://kworb.net/spotify/track/78TKtlSLWK8pZAKKW3MyQL.html
16,59,You're No Good,Linda Ronstadt,1sXbwvCQLGZnaH0Jp2HTVc,4DiECifDqdKKSgZku0OkXv,
17,58,Without You,Harry Nilsson,,,
18,57,Marvins Room,Drake,3TVXtAsR1Inumwj472S9r4,047fCsbO4NdmwCBn8pcUXl,
19,56,Love Will Tear Us Apart,Joy Division,432R46LaYsJZV2Gmc4jUV5,1r8oPEXqnhUVgkUkJNqEuF,
20,55,"Lover, You Should've Come Over",Jeff Buckley,3nnQpaTvKb5jCQabZefACI,6Jv7kjGkhY2fT4yuBF3aTz,
21,54,"Thank U, Next",Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,3e9HZxeyfWwjeyPAMmWSSQ,https://kworb.net/spotify/track/3e9HZxeyfWwjeyPAMmWSSQ.html
22,53,I'm Goin' Down,Mary J. Blige,1XkoF8ryArs86LZvFOkbyr,0I5mUa3CZPcsrWwlUmTWkV,
23,52,Leave (Get Out),Jojo,5xuNBZoM7z1Vv8IQ6uM0p6,3DOxMCaNBNvnjSzpHUSjE3,
24,51,Gives You Hell,The All-American Rejects,3vAaWhdBR38Q02ohXqaNHT,6ihL9TjfRjadfEePzXXyVF,https://kworb.net/spotify/track/6ihL9TjfRjadfEePzXXyVF.html
25,50,Falling,Harry Styles,6KImCVD70vtIoJWnq6nGn3,1ZMiCix7XSAbfAJlEZWMCp,https://kworb.net/spotify/track/1ZMiCix7XSAbfAJlEZWMCp.html
26,49,Irreplaceable,Beyoncé,6vWDO969PvNqNYHIOW5v0m,6RX5iL93VZ5fKmyvNXvF1r,https://kworb.net/spotify/track/6RX5iL93VZ5fKmyvNXvF1r.html
27,48,It's Too Late,Carole King,319yZVtYM9MBGqmSQnMyY6,12q3V8ShACq2PSWINMc2rC,
28,47,Cellophane,FKA Twigs,6nB0iY1cjSY1KyhYyuIIKH,7x8pIrhMu9FCmqqHNyuH0P,
29,46,Ivy,Frank Ocean,2h93pZq0e7k5yf4dywlkpM,2ZWlPOoWh0626oTaHrnl2a,https://kworb.net/spotify/track/2ZWlPOoWh0626oTaHrnl2a.html
30,45,Motion Sickness,Phoebe Bridgers,1r1uxoy19fzMxunt3ONAkG,5xo8RrjJ9CVNrtRg2S3B1R,https://kworb.net/spotify/track/5xo8RrjJ9CVNrtRg2S3B1R.html
31,44,Crying,Roy Orbison,0JDkhL4rjiPNEp92jAgJnS,6eLL7QTdMWdhhG4i3jHDR9,
32,43,Happier Than Ever,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,4RVwu0g32PAqgUiJoXsdF8,https://kworb.net/spotify/track/4RVwu0g32PAqgUiJoXsdF8.html
33,42,Every Breath You Take,The Police,5NGO30tJxFlKixkPSgXcFE,1JSTJqkT5qHq8MDJnJbRE1,https://kworb.net/spotify/track/1JSTJqkT5qHq8MDJnJbRE1.html
34,41,I Fall to Pieces,Patsy Cline,,,
35,40,Sometime Around Midnight,The Airborne Toxic Event,,,
36,39,All I Wanted,Paramore,74XFHRwlV6OrjEM0A2NCMF,1Bv3h7Vc4AaYA2BcSM3rVd,
37,38,After You've Gone,Dinah Washington,,,
38,37,Heartbreak Anniversary,Giveon,4fxd5Ee7UefO4CUXgwJ7IP,3FAJ6O0NOHQV8Mc5Ri6ENp,https://kworb.net/spotify/track/3FAJ6O0NOHQV8Mc5Ri6ENp.html
39,36,The One That Got Away,Katy Perry,6jJ0s89eD6GaHleKKya26X,6hkOqJ5mE093AQf2lbZnsG,https://kworb.net/spotify/track/6hkOqJ5mE093AQf2lbZnsG.html
40,35,You Keep Me Hangin' On,The Supremes,57bUPid8xztkieZfS7OlEV,4a01ClusxuZiloOK5UgLUn,
41,34,Stick Season,Noah Kahan,2RQXRUsr4IW1f3mKyKsy4B,0mflMxspEfB0VbI1kyLiAv,https://kworb.net/spotify/track/0mflMxspEfB0VbI1kyLiAv.html
42,33,Cry Me A River,Justin Timberlake,31TPClRtHm23RisEBtV3X7,7Lf7oSEVdzZqTA0kEDSlS5,https://kworb.net/spotify/track/7Lf7oSEVdzZqTA0kEDSlS5.html
43,32,Since U Been Gone,Kelly Clarkson,3BmGtnKgCSGYIUhmivXKWX,3xrn9i8zhNZsTtcoWgQEAd,
44,31,I Can't Make You Love Me,Bonnie Raitt,,,
45,30,Truth Hurts,Lizzo,56oDRnqbIiwx4mymNEv7dS,4JazDcr295JjClPNnks5WL,
46,29,Somebody That I Used to Know,Gotye,2AsusXITU8P25dlRNhcAbG,1iDIw4DDH0d4BynkTnzBAY,
47,28,Burn,Usher,23zg3TcAtWQy7J6upgbUnj,7z3N2W7Xz1t2G2sAO8wFVH,https://kworb.net/spotify/track/7z3N2W7Xz1t2G2sAO8wFVH.html
48,27,Always On My Mind,Elvis Presley,43ZHCT0cAZBISjO8DG9PnE,1B5Tp2Ml9nLlmTSJx8xVfI,
49,26,When I Was Your Man,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,0nJW01T7XtvILxQgC5J7Wh,https://kworb.net/spotify/track/0nJW01T7XtvILxQgC5J7Wh.html
50,25,Torn,Natalie Imbruglia,0dlOr0VIysztGWvU1dpjmP,1Jaah2tmN9Hv81A87KZ1MU,https://kworb.net/spotify/track/1Jaah2tmN9Hv81A87KZ1MU.html
51,24,Landslide,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,5ihS6UUlyQAfmp48eSkxuQ,https://kworb.net/spotify/track/5ihS6UUlyQAfmp48eSkxuQ.html
52,23,I Will Survive,Gloria Gaynor,6V6WCgi7waF55bJmylC4H5,7rIovIsXE6kMn629b7kDig,
53,22,Nothing Compares 2 U,Sinéad O'Connor,,,
54,21,You're So Vain,Carly Simon,,,
55,20,Somebody Else,The 1975,3mIj9lX2MWuHmhNCA7LSCW,5hc71nKsUgtwQ3z52KEKQk,https://kworb.net/spotify/track/5hc71nKsUgtwQ3z52KEKQk.html
56,19,Hallelujah,Leonard Cohen,5l8VQNuIg0turYE1VtM9zV,7yzbimr8WVyAtBX3Eg6UL9,https://kworb.net/spotify/track/7yzbimr8WVyAtBX3Eg6UL9.html
57,18,Un-Break My Heart,Toni Braxton,3X458ddYA2YcVWuVIGGOYe,5Ihd9HrPvOADyVoonH9ZjB,https://kworb.net/spotify/track/5Ihd9HrPvOADyVoonH9ZjB.html
58,17,The Way We Were,Barbra Streisand,7jmTilWYlKOuavFfmQAcu6,1vZTgn4JXWMahR8r99ug5H,
59,16,Go Your Own Way,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,4xh7W7tlNMIczFhupCPniY,
60,15,I Will Always Love You,Dolly Parton,32vWCbZh0xZ4o9gkz4PsEU,77bNe6jYY8yHdP7orXrz5I,
61,14,Drivers License,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,5wANPM4fQCJwkGd4rN57mH,https://kworb.net/spotify/track/5wANPM4fQCJwkGd4rN57mH.html
62,13,We Belong Together,Mariah Carey,4iHNK0tOyZPYnBU7nGAgpQ,3LmvfNUQtglbTrydsdIqFU,https://kworb.net/spotify/track/3LmvfNUQtglbTrydsdIqFU.html
63,12,Hide and Seek,Imogen Heap,6Xb4ezwoAQC4516kI89nWz,7mMlbJlXXo2mRtQ4R9sIzD,https://kworb.net/spotify/track/7mMlbJlXXo2mRtQ4R9sIzD.html
64,11,Yesterday,The Beatles,3WrFJ7ztbogyGnTHbHJFl2,3BQHpFgAp4l80e1XslIjNI,
65,10,Bye Bye Bye,*NSYNC,6Ff53KvcvAj5U7Z1vojB5o,62bOmKYxYg7dhrC6gH9vFn,https://kworb.net/spotify/track/62bOmKYxYg7dhrC6gH9vFn.html
66,9,Someone Like You,Adele,4dpARuHxo51G3z768sgnrY,1zwMYTA5nlNjZxYrvBB2pV,
67,8,Supercut,Lorde,163tK9Wjr9P9DmM0AVK7lm,6TgBrRvbC64WMetf2hXrUS,
68,7,You Oughta Know,Alanis Morissette,6ogn9necmbUdCppmNnGOdi,336gUVrBgd22Y1iyjH5wRD,
69,6,Back To Black,Amy Winehouse,6Q192DXotxtaysaqNPy5yR,3FAclTFfvUuQYnEsptbK8w,https://kworb.net/spotify/track/3FAclTFfvUuQYnEsptbK8w.html
70,5,I Have Nothing,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,31er9IGsfFbwqy1pH4aiTP,https://kworb.net/spotify/track/31er9IGsfFbwqy1pH4aiTP.html
71,4,Kill Bill,SZA,7tYKF4w9nC0nq9CsPZTHyP,3OHfY25tqY28d16oZczHc8,
72,3,I Want You Back,The Jackson 5,2iE18Oxc8YSumAU232n4rW,5LxvwujISqiB8vpRYv887S,
73,2,Dancing On My Own,Robyn,6UE7nl9mha6s8z0wFQFIZ2,7g13jf3zqlP5S68Voo5v9m,
74,1,All Too Well (10 Minute Version),Taylor Swift,06HL4z0CvFAxyc27GXpf02,/5enxwA8aAbwZbf5qCHORXi,https://kworb.net/spotify/track//5enxwA8aAbwZbf5qCHORXi.html
